"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"Oudewater";51;498,7;25;244,5;8;78,2
"Overbetuwe";118;246,3;56;116,9;14;29,2
"Papendrecht";53;164,9;7;21,8;6;18,7
"Peel en Maas";257;591,9;141;324,7;57;131,3
"Pekela";5;41;4;32,8;0;0
"Pijnacker-Nootdorp";105;189,8;21;38;10;18,1
"Purmerend";198;243,7;64;78,8;29;35,7
"Putten";20;82,9;4;16,6;0;0
"Raalte";137;363,3;23;61;16;42,4
"Reimerswaal";28;123,2;4;17,6;2;8,8
"Renkum";63;200,6;14;44,6;5;15,9
"Renswoude";18;330,4;5;91,8;5;91,8
"Reusel-De Mierden";21;160,2;10;76,3;2;15,3
"Rheden";73;166,9;32;73,2;14;32
"Rhenen";24;119,3;8;39,8;4;19,9
"Ridderkerk";100;216,4;33;71,4;11;23,8
"Rijssen-Holten";140;366,7;28;73,3;11;28,8
"Rijswijk";103;189,2;32;58,8;17;31,2
"Roerdalen";46;223,6;27;131,2;7;34
"Roermond";121;207,7;58;99,6;20;34,3
"Roosendaal";196;253,8;27;35;16;20,7
"Rotterdam";1926;295,7;418;64,2;214;32,9
"Rozendaal";3;176;1;58,7;0;0
"Rucphen";57;249,2;8;35;7;30,6
"s-Gravenhage";1117;204,9;278;51;143;26,2
"Schagen";70;150,6;19;40,9;7;15,1
"Scherpenzeel";22;222,7;4;40,5;2;20,2
"Schiedam";179;227,3;41;52,1;10;12,7
"Schiermonnikoog";0;0;0;0;0;0
"Schouwen-Duiveland";31;91,6;11;32,5;0;0
"Simpelveld";39;369,6;17;161,1;4;37,9
"Sint Anthonis";61;522,6;20;171,4;10;85,7
"Sint-Michielsgestel";90;308,2;35;119,9;15;51,4
"Sittard-Geleen";355;384,1;109;117,9;52;56,3
"Sliedrecht";48;190,3;8;31,7;4;15,9
"Sluis";17;73,2;8;34,5;4;17,2
"Smallingerland";50;89;9;16;5;8,9
"Soest";74;158,8;22;47,2;10;21,5
"Someren";91;469,7;30;154,8;7;36,1
"Son en Breugel";69;398,4;29;167,4;14;80,8
"Stadskanaal";5;15,8;2;6,3;1;3,2
"Staphorst";55;320,8;8;46,7;4;23,3
"Stede Broec";48;220,9;19;87,4;5;23
"Steenbergen";75;306,1;13;53,1;11;44,9
"Steenwijkerland";84;190,3;14;31,7;5;11,3
"Stein";108;432;43;172;15;60
"Stichtse Vecht";93;143,2;30;46,2;8;12,3
"S̼dwest-Frysl̢n";71;78,9;17;18,9;3;3,3
"Terneuzen";101;185,5;24;44,1;3;5,5
"Terschelling";2;40,9;0;0;0;0
"Texel";10;73,7;4;29,5;1;7,4
"Teylingen";48;128,3;12;32,1;1;2,7
"Tholen";132;512,5;38;147,5;14;54,4
"Tiel";97;230,1;40;94,9;17;40,3
"Tilburg";643;292,5;175;79,6;148;67,3
"Tubbergen";76;357,2;11;51,7;3;14,1
"Twenterand";56;166;12;35,6;2;5,9
"Tynaarlo";38;112,2;9;26,6;0;0
"Tytsjerksteradiel";15;46,8;4;12,5;1;3,1
"Uden";249;591,1;116;275,4;62;147,2
"Uitgeest";21;153,9;5;36,6;1;7,3
"Uithoorn";46;156,1;16;54,3;2;6,8
"Urk";67;318,5;21;99,8;4;19
"Utrecht";802;224,2;227;63,5;81;22,6
"Utrechtse Heuvelrug";90;181,4;30;60,5;13;26,2
"Vaals";28;277,3;10;99;1;9,9
"Valkenburg aan de Geul";72;440,1;16;97,8;7;42,8
"Valkenswaard";155;496,8;16;51,3;31;99,4
"Veendam";8;29,2;2;7,3;0;0
"Veenendaal";146;219,6;47;70,7;10;15
"Veere";24;109,7;6;27,4;2;9,1
