"Category";"Zkh opname per 100.000";"Zkh opname";"Meldingen per 100.000";"Meldingen"
"Waterland";68,9;12;126,3;22
"Weert";109,8;55;189,6;95
"Weesp";45,6;9;141,9;28
"West Betuwe";62,5;32;210,9;108
"West Maas en Waal";62,1;12;295;57
"Westerkwartier";22,1;14;78,9;50
"Westerveld";30,8;6;118,2;23
"Westervoort";66,8;10;126,9;19
"Westerwolde";19,4;5;19,4;5
"Westland";38,1;42;135,9;150
"Weststellingwerf";7,7;2;50,2;13
"Westvoorne";40,7;6;142,6;21
"Wierden";16,4;4;126,8;31
"Wijchen";90;37;214;88
"Wijdemeren";28,7;7;65,7;16
"Wijk bij Duurstede";33,5;8;96,2;23
"Winterswijk";10,4;3;72,8;21
"Woensdrecht";18,3;4;109,7;24
"Woerden";80,3;42;191,2;100
"Wormerland";98,2;16;177,9;29
"Woudenberg";59,9;8;157,2;21
"Zaanstad";56,2;88;142,9;224
"Zaltbommel";58,8;17;138,4;40
"Zandvoort";58,4;10;169,4;29
"Zeewolde";35,3;8;88,3;20
"Zeist";44,7;29;138,6;90
"Zevenaar";89,2;39;144;63
"Zoetermeer";29,5;37;81,4;102
"Zoeterwoude";23,2;2;81,3;7
"Zuidplas";38,7;17;145,8;64
"Zundert";73,3;16;206,2;45
"Zutphen";35,5;17;95,9;46
"Zwartewaterland";136,6;31;467,2;106
"Zwijndrecht";26,8;12;140,8;63
"Zwolle";38,8;50;180,1;232
