Gemeente,Provincie,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020
Bernheze,Noord-Brabant,,,,,1,1,2,2,2,4,13,15,16,19,20,26,30,37,41,57,62,67,69,83,87,95,104,117
Bloemendaal,Noord-Holland,,,,,1,1,1,1,1,1,1,1,1,1,3,3,3,3,8,8,11,13,13,16,17,19,19,19
Dinkelland,Overijssel,,,,,1,2,2,2,2,1,3,4,4,5,5,6,8,9,13,14,15,17,20,25,28,30,32,34
Hellendoorn,Overijssel,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,5,6,7,7,8,10,12,14
Heusden,Noord-Brabant,,,,,1,1,1,1,2,2,4,4,4,4,4,5,6,7,11,15,16,19,20,25,37,39,44,46
Landsmeer,Noord-Holland,,,,,1,,,,,2,2,2,3,3,3,3,3,4,4,5,5,6,6,7,7,7,8,8
Leidschendam-Voorburg,Zuid-Holland,,,,,1,1,1,2,2,2,3,3,3,4,5,6,6,7,9,10,10,13,14,17,18,21,21,24
Meierijstad,Noord-Brabant,,,,,1,4,10,11,13,18,25,30,34,42,49,60,72,81,95,119,127,139,149,168,195,207,227,243
Oegstgeest,Zuid-Holland,,,,,1,1,1,1,2,2,2,4,4,4,4,4,5,6,7,7,7,8,9,9,12,13,13,15
Ridderkerk,Zuid-Holland,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,5,5,7,9,13,19,27,33,34
Schouwen-Duiveland,Zeeland,,,,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,6,8,9,9,10,10
's-Hertogenbosch,Noord-Brabant,,,,,2,2,3,4,5,8,11,14,14,20,24,30,35,38,45,55,60,67,75,87,108,117,131,150
Vijfheerenlanden,Utrecht,,,,,1,1,1,1,1,1,2,2,2,3,4,4,7,7,9,11,12,18,21,24,24,27,36,47
Zaanstad,Noord-Holland,,,,,2,2,2,2,2,2,2,2,2,2,2,2,4,3,9,11,19,20,29,31,46,50,56,75
Zeist,Utrecht,,,,,1,1,1,2,3,4,4,4,6,8,12,12,12,13,17,17,19,20,25,28,34,40,44,47
Albrandswaard,Zuid-Holland,,,,,,1,1,1,1,1,1,1,1,2,3,4,4,5,8,12,14,18,18,19,21,23,24,25
Almelo,Overijssel,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,7,8,10,12,14,15,19,20
Bergen op Zoom,Noord-Brabant,,,,,,1,1,1,1,1,1,1,4,4,5,5,6,8,9,10,12,12,12,13,15,17,17,17
Boekel,Noord-Brabant,,,,,,1,1,2,7,8,11,12,12,14,14,19,20,25,32,37,40,42,42,42,51,53,59,61
Deurne,Noord-Brabant,,,,,,1,1,1,3,3,3,3,4,5,8,8,10,13,19,22,22,25,30,35,42,46,53,58
Emmen,Drenthe,,,,,,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,6,7,8,8,10,12,14,15
Goirle,Noord-Brabant,,,,,,1,4,4,6,6,6,6,6,9,9,9,11,11,12,13,13,16,18,21,24,26,34,34
Heemstede,Noord-Holland,,,,,,1,1,1,1,2,2,2,2,5,5,5,5,7,11,11,13,16,17,21,24,27,27,32
Huizen,Noord-Holland,,,,,,1,1,1,2,1,1,1,1,1,1,2,3,3,3,3,3,3,7,8,13,13,13,13
IJsselstein,Utrecht,,,,,,1,1,1,1,1,1,1,2,4,6,7,8,8,11,13,16,16,18,23,26,31,34,38
Krimpenerwaard,Zuid-Holland,,,,,,1,1,1,3,3,3,3,4,4,4,4,5,7,9,11,11,12,16,19,24,30,33,38
Landerd,Noord-Brabant,,,,,,2,2,1,2,2,4,5,5,10,14,16,18,20,20,22,23,25,25,34,42,44,47,50
Maasdriel,Gelderland,,,,,,1,1,1,,,,,,,1,1,1,2,2,2,2,3,3,5,6,8,11,12
Roermond,Limburg,,,,,,1,1,1,1,1,1,2,2,2,4,6,13,15,18,21,23,26,28,29,31,32,32,38
Waterland,Noord-Holland,,,,,,1,1,1,1,1,1,1,2,3,3,4,7,7,8,8,9,10,11,11,11,11,12,14
Wijchen,Gelderland,,,,,,1,1,1,1,2,3,3,4,5,6,8,8,14,17,20,21,23,24,30,30,35,38,43
Zundert,Noord-Brabant,,,,,,1,1,1,2,2,3,3,3,3,4,6,6,7,7,7,9,11,14,15,17,23,24,25
Zwolle,Overijssel,,,,,,1,1,1,2,2,2,3,4,6,8,12,16,18,23,28,35,40,47,56,63,68,79,92
Etten-Leur,Noord-Brabant,,,,,,,1,3,5,5,6,7,8,10,12,13,14,15,18,20,24,24,31,37,40,50,51,54
Haaren,Noord-Brabant,,,,,,,2,2,6,6,7,7,7,7,7,9,9,9,10,12,12,12,12,14,18,21,22,23
Leudal,Limburg,,,,,,,1,2,3,4,4,6,6,7,8,11,13,16,20,22,23,26,29,32,37,41,45,52
Neder-Betuwe,Gelderland,,,,,,,1,1,1,1,3,3,4,4,4,4,4,5,5,9,9,11,11,13,16,20,31,33
Noordwijk,Zuid-Holland,,,,,,,2,2,2,2,2,2,2,2,2,2,3,2,3,6,6,6,7,8,10,15,17,17
Tiel,Gelderland,,,,,,,1,1,1,2,2,2,3,4,4,4,4,4,4,5,6,8,14,20,23,27,29,33
Tubbergen,Overijssel,,,,,,,1,1,1,1,1,1,1,1,1,1,3,3,3,3,4,4,4,9,11,12,13,14
Veldhoven,Noord-Brabant,,,,,,,1,1,1,1,1,1,1,1,1,1,2,5,9,11,11,14,18,22,22,24,26,28
Venlo,Limburg,,,,,,,1,1,1,2,2,3,4,6,8,12,21,24,33,33,35,40,47,54,67,71,86,96
Voorst,Gelderland,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,6,10,13,15,18,20
Vught,Noord-Brabant,,,,,,,1,1,1,2,2,2,2,3,6,7,8,8,11,15,17,19,22,25,29,31,36,38
Aalsmeer,Noord-Holland,,,,,,,,2,2,2,3,3,3,3,3,3,4,5,5,7,8,9,10,11,12,16,17,18
Alkmaar,Noord-Holland,,,,,,,,1,1,1,1,1,1,2,2,5,9,10,11,15,16,20,24,29,36,42,45,49
Berg en Dal,Gelderland,,,,,,,,1,3,3,5,6,6,10,14,14,18,20,25,30,33,35,37,43,44,53,64,69
Ermelo,Gelderland,,,,,,,,1,1,3,4,5,7,8,8,8,8,9,11,13,13,14,17,17,18,19,20,23
Goes,Zeeland,,,,,,,,1,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,7,12,12,16,17
Gouda,Zuid-Holland,,,,,,,,1,2,2,2,2,3,4,5,7,9,10,12,15,16,17,18,25,31,35,37,43
Leiden,Zuid-Holland,,,,,,,,1,1,1,4,4,4,8,8,11,12,14,16,16,16,20,21,28,30,35,37,39
"Nuenen, Gerwen en Nederwetten",Noord-Brabant,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,8,10,11,13,14,16
Opsterland,Friesland,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,5,6,6,7,7
Peel en Maas,Limburg,,,,,,,,1,3,4,8,10,14,19,31,36,41,49,63,64,69,79,88,96,107,119,134,140
Rheden,Gelderland,,,,,,,,1,1,1,1,1,1,1,2,3,4,7,7,10,12,15,18,21,27,30,34,35
Schagen,Noord-Holland,,,,,,,,1,1,1,2,3,4,4,4,5,6,6,7,7,7,10,11,12,13,13,16,19
Waddinxveen,Zuid-Holland,,,,,,,,1,1,1,1,1,1,1,1,1,3,3,4,4,4,4,5,6,7,8,9,9
Amersfoort,Utrecht,,,,,,,,,2,4,4,4,10,18,21,23,30,32,37,37,41,44,47,54,59,63,68,69
Apeldoorn,Gelderland,,,,,,,,,1,2,2,3,3,7,7,10,11,13,16,17,26,29,34,39,49,52,53,60
Bergeijk,Noord-Brabant,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,3,5,10,11,13,14,14,14
Borsele,Zeeland,,,,,,,,,1,1,1,1,1,2,2,2,3,3,3,3,3,4,5,6,7,7,7,7
Cranendonck,Noord-Brabant,,,,,,,,,1,1,2,2,2,2,5,6,6,8,11,13,19,23,25,31,42,42,55,58
Cuijk,Noord-Brabant,,,,,,,,,1,1,2,2,2,2,2,2,4,4,4,4,5,6,8,8,8,10,10,14
Den Helder,Noord-Holland,,,,,,,,,1,1,1,1,1,1,1,1,2,2,3,3,4,5,5,6,9,9,11,11
Drimmelen,Noord-Brabant,,,,,,,,,1,3,5,5,5,7,11,12,13,13,14,14,16,17,20,21,24,26,30,30
Enschede,Overijssel,,,,,,,,,1,3,3,3,3,3,3,4,7,8,16,18,20,20,26,34,45,49,55,55
Geertruidenberg,Noord-Brabant,,,,,,,,,1,1,1,1,1,3,5,7,7,7,7,8,10,10,11,11,11,12,12,15
Heerlen,Limburg,,,,,,,,,1,2,2,4,5,6,8,14,15,18,19,24,29,46,53,63,68,75,78,87
Heeze-Leende,Noord-Brabant,,,,,,,,,1,1,1,1,1,2,3,4,4,4,4,7,7,7,10,10,12,12,16,16
Hilvarenbeek,Noord-Brabant,,,,,,,,,1,3,5,5,5,4,4,4,4,4,5,6,7,8,10,10,10,12,13,13
Langedijk,Noord-Holland,,,,,,,,,1,1,3,3,4,4,4,4,4,4,4,4,5,12,12,13,14,14,15,16
Lelystad,Flevoland,,,,,,,,,1,1,3,5,7,8,10,12,13,15,15,19,21,24,26,27,29,31,31,34
Purmerend,Noord-Holland,,,,,,,,,1,1,2,2,2,2,2,4,7,11,14,20,22,23,32,39,48,52,56,63
Roosendaal,Noord-Brabant,,,,,,,,,1,1,2,2,5,6,6,6,7,8,8,11,16,18,20,24,25,25,26,26
Smallingerland,Friesland,,,,,,,,,1,1,1,2,3,3,3,3,3,3,3,3,3,3,4,5,5,7,8,10
Son en Breugel,Noord-Brabant,,,,,,,,,1,1,2,2,2,4,4,4,5,7,8,10,10,13,15,19,20,22,24,24
Stein,Limburg,,,,,,,,,1,1,1,3,3,3,3,4,4,5,5,6,9,24,24,28,29,31,32,34
Veere,Zeeland,,,,,,,,,1,1,1,1,1,1,1,1,1,2,5,5,6,6,6,7,8,9,9,9
Woudenberg,Utrecht,,,,,,,,,1,1,1,1,1,1,1,2,2,3,3,3,4,4,6,7,6,6,7,8
Barendrecht,Zuid-Holland,,,,,,,,,,1,1,1,3,3,3,3,4,5,9,10,13,15,16,19,21,28,29,30
Bodegraven-Reeuwijk,Zuid-Holland,,,,,,,,,,1,1,1,1,1,1,1,1,1,3,5,5,5,5,8,9,10,11,12
Boxtel,Noord-Brabant,,,,,,,,,,1,1,2,2,3,5,5,6,6,11,12,12,15,15,19,22,24,24,26
Buren,Gelderland,,,,,,,,,,1,2,2,2,4,4,4,5,5,5,5,5,6,7,7,7,7,8,9
De Fryske Marren,Friesland,,,,,,,,,,1,2,2,3,3,3,5,5,6,8,8,8,8,9,12,12,17,21,22
Eersel,Noord-Brabant,,,,,,,,,,1,1,2,2,2,3,4,4,6,7,9,10,13,13,14,15,17,20,23
Geldrop-Mierlo,Noord-Brabant,,,,,,,,,,1,2,2,2,3,3,3,4,4,6,6,8,9,15,16,20,22,24,26
Groningen,Groningen,,,,,,,,,,2,3,3,6,7,7,11,23,28,39,46,53,53,58,76,80,85,87,88
Harderwijk,Gelderland,,,,,,,,,,2,2,2,2,4,4,5,5,5,5,6,8,9,13,14,18,18,22,25
Hellevoetsluis,Zuid-Holland,,,,,,,,,,1,1,1,1,1,1,1,1,4,4,4,5,5,5,7,10,15,15,15
Hoogeveen,Drenthe,,,,,,,,,,1,1,2,2,2,2,3,3,4,5,5,5,6,7,7,8,9,12,13
Katwijk,Zuid-Holland,,,,,,,,,,1,1,1,1,1,1,2,2,3,5,6,6,6,7,10,15,19,21,24
Krimpen aan den IJssel,Zuid-Holland,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,3,3,3,6,7,7,12,13,15
Landgraaf,Limburg,,,,,,,,,,1,2,4,4,4,4,7,7,7,9,10,11,18,21,25,28,29,29,32
Leeuwarden,Friesland,,,,,,,,,,1,1,1,1,2,3,4,5,5,8,8,10,10,12,15,19,20,23,23
Nieuwkoop,Zuid-Holland,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,3,3,4,6,6,7,8,10,10
Nissewaard,Zuid-Holland,,,,,,,,,,1,1,1,1,1,3,4,7,11,12,15,15,17,19,23,28,37,38,40
Oosterhout,Noord-Brabant,,,,,,,,,,1,3,4,5,6,8,9,9,12,13,16,22,23,26,29,31,36,40,44
Pekela,Groningen,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3
Raalte,Overijssel,,,,,,,,,,1,1,1,1,2,3,3,3,3,3,5,5,6,10,12,13,15,17,20
Reimerswaal,Zeeland,,,,,,,,,,1,1,1,1,2,2,3,4,5,5,5,5,6,7,7,7,7,7,7
Súdwest Fryslân,Friesland,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Veenendaal,Utrecht,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,3,6,6,7,7,13,14,15,20
Velsen,Noord-Holland,,,,,,,,,,1,1,1,1,4,4,4,4,5,8,10,11,15,15,23,25,31,38,40
Vlaardingen,Zuid-Holland,,,,,,,,,,1,1,1,1,1,2,2,4,7,12,15,15,18,22,24,28,30,35,43
Vlissingen,Zeeland,,,,,,,,,,2,2,2,2,3,4,4,5,6,6,6,8,8,8,8,8,10,10,13
Boxmeer,Noord-Brabant,,,,,,,,,,,1,1,1,1,1,2,2,5,6,7,7,9,9,10,13,17,19,25
Dordrecht,Zuid-Holland,,,,,,,,,,,1,1,1,1,4,4,8,11,12,13,17,23,26,28,32,36,42,46
Dronten,Flevoland,,,,,,,,,,,2,3,6,7,7,8,9,10,11,10,11,11,11,11,11,11,13,13
Druten,Gelderland,,,,,,,,,,,1,3,5,5,5,5,5,5,5,5,6,6,7,7,11,13,16,18
Duiven,Gelderland,,,,,,,,,,,1,1,1,1,1,2,2,2,2,2,2,2,2,3,4,6,6,7
Elburg,Gelderland,,,,,,,,,,,1,1,1,1,1,1,1,2,2,3,4,4,5,6,9,11,16,18
Gennep,Limburg,,,,,,,,,,,1,1,1,1,1,2,4,4,5,7,7,7,7,8,9,14,14,19
Gilze en Rijen,Noord-Brabant,,,,,,,,,,,1,1,1,1,1,3,5,7,7,12,13,16,18,19,22,25,27,29
